Ref,Val,Package,PosX,PosY,Rot,Side
"Y5","Field_Sensor_54_22","Field_Sensor_54_22",-247.500000,68.500000,90.000000,bottom
"Y8","Field_Sensor_54_22","Field_Sensor_54_22",-222.500000,68.500000,90.000000,bottom
"Y11","Field_Sensor_54_22","Field_Sensor_54_22",-197.500000,68.500000,90.000000,bottom
"Y14","Field_Sensor_54_22","Field_Sensor_54_22",-172.500000,68.500000,90.000000,bottom
"Y17","Field_Sensor_54_22","Field_Sensor_54_22",-147.500000,68.500000,90.000000,bottom
"Y20","Field_Sensor_54_22","Field_Sensor_54_22",-122.500000,68.500000,90.000000,bottom
"Y23","Field_Sensor_54_22","Field_Sensor_54_22",-97.500000,68.500000,90.000000,bottom
"Y26","Field_Sensor_54_22","Field_Sensor_54_22",-72.500000,68.500000,90.000000,bottom
"Y29","Field_Sensor_54_22","Field_Sensor_54_22",-47.500000,68.500000,90.000000,bottom
"Y32","Field_Sensor_54_22","Field_Sensor_54_22",-22.500000,68.500000,90.000000,bottom
"C1","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",103.500000,10.500000,0.000000,top
"C2","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",103.500000,12.500000,0.000000,top
"C3","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",124.500000,8.500000,0.000000,top
"C4","CC0805ZKY5V6BB106","YAGEO-CC0805-0-0-0",141.240000,15.700000,90.000000,top
"C5","CC0805ZKY5V6BB106","YAGEO-CC0805-0-0-0",105.500000,3.000000,0.000000,top
"C6","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",86.000000,10.000000,90.000000,top
"C7","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",114.500000,3.000000,0.000000,top
"C8","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",93.000000,10.000000,270.000000,top
"C9","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",173.500000,8.000000,270.000000,top
"C10","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",171.500000,17.000000,90.000000,top
"C11","CC0805ZKY5V6BB106","YAGEO-CC0805-0-0-0",255.000000,35.500000,180.000000,top
"C12","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",239.500000,43.000000,180.000000,top
"C13","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",255.000000,37.500000,0.000000,top
"C14","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",251.000000,49.000000,0.000000,top
"C15","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",255.000000,51.500000,0.000000,top
"C16","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",251.000000,47.000000,0.000000,top
"C17","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",255.000000,53.500000,0.000000,top
"C18","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",255.000000,59.500000,0.000000,top
"C19","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",251.000000,60.500000,0.000000,top
"C20","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",255.000000,61.500000,0.000000,top
"C21","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",251.000000,62.500000,0.000000,top
"C22","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",248.000000,60.500000,180.000000,top
"C23","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",236.600000,37.500000,90.000000,top
"C24","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",248.000000,62.500000,180.000000,top
"C25","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",255.000000,57.500000,0.000000,top
"C26","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",255.000000,55.500000,0.000000,top
"C27","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",243.000000,37.500000,270.000000,top
"C28","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",239.500000,45.000000,180.000000,top
"C29","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",255.000000,39.500000,0.000000,top
"C30","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",239.500000,51.000000,0.000000,top
"C31","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",255.000000,45.500000,180.000000,top
"C32","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",244.000000,47.000000,0.000000,top
"C33","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",244.000000,49.000000,0.000000,top
"C34","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",237.400000,64.000000,180.000000,top
"C35","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",255.000000,66.500000,0.000000,top
"C36","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",246.250000,65.500000,0.000000,top
"C37","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",249.000000,65.500000,0.000000,top
"C38","CC0603KRX7R9BB181","YAGEO-CC0603-0-0-0",243.500000,66.000000,90.000000,top
"C39","CC0805ZKY5V6BB106","YAGEO-CC0805-0-0-0",230.000000,35.500000,180.000000,top
"C40","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",214.500000,43.000000,180.000000,top
"C41","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",230.000000,37.500000,0.000000,top
"C42","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",226.000000,49.000000,0.000000,top
"C43","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",230.000000,51.500000,0.000000,top
"C44","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",226.000000,47.000000,0.000000,top
"C45","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",230.000000,53.500000,0.000000,top
"C46","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",230.000000,59.500000,0.000000,top
"C47","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",226.000000,60.500000,0.000000,top
"C48","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",230.000000,61.500000,0.000000,top
"C49","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",226.000000,62.500000,0.000000,top
"C50","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",223.000000,60.500000,180.000000,top
"C51","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",211.600000,37.500000,90.000000,top
"C52","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",223.000000,62.500000,180.000000,top
"C53","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",230.000000,57.500000,0.000000,top
"C54","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",230.000000,55.500000,0.000000,top
"C55","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",218.000000,37.500000,270.000000,top
"C56","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",214.500000,45.000000,180.000000,top
"C57","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",230.000000,39.500000,0.000000,top
"C58","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",214.500000,51.000000,0.000000,top
"C59","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",230.000000,45.500000,180.000000,top
"C60","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",219.000000,47.000000,0.000000,top
"C61","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",219.000000,49.000000,0.000000,top
"C62","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",212.400000,64.000000,180.000000,top
"C63","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",230.000000,66.500000,0.000000,top
"C64","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",221.250000,65.500000,0.000000,top
"C65","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",224.000000,65.500000,0.000000,top
"C66","CC0603KRX7R9BB181","YAGEO-CC0603-0-0-0",218.500000,66.000000,90.000000,top
"C67","CC0805ZKY5V6BB106","YAGEO-CC0805-0-0-0",205.000000,35.500000,180.000000,top
"C68","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",189.500000,43.000000,180.000000,top
"C69","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",205.000000,37.500000,0.000000,top
"C70","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",201.000000,49.000000,0.000000,top
